2.8.0+cu126
Start Training......
2025-09-05 20:43:14,725 INFO     Model: RotatE
2025-09-05 20:43:14,726 INFO     Data Path: data/FB15k-237
2025-09-05 20:43:14,726 INFO     #entity: 14541
2025-09-05 20:43:14,726 INFO     #relation: 237
2025-09-05 20:43:14,956 INFO     #train: 272115
2025-09-05 20:43:14,972 INFO     #valid: 17535
2025-09-05 20:43:14,990 INFO     #test: 20466
2025-09-05 20:43:15,206 INFO     Model Parameter Configuration:
2025-09-05 20:43:15,206 INFO     Parameter gamma: torch.Size([1]), require_grad = False
2025-09-05 20:43:15,207 INFO     Parameter embedding_range: torch.Size([1]), require_grad = False
2025-09-05 20:43:15,207 INFO     Parameter entity_embedding: torch.Size([14541, 2000]), require_grad = True
2025-09-05 20:43:15,207 INFO     Parameter relation_embedding: torch.Size([237, 1000]), require_grad = True
/usr/local/lib/python3.12/dist-packages/torch/utils/data/dataloader.py:627: UserWarning: This DataLoader will create 5 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
2025-09-05 20:43:18,271 INFO     Ramdomly Initializing RotatE Model...
2025-09-05 20:43:18,271 INFO     Start Training...
2025-09-05 20:43:18,271 INFO     init_step = 0
2025-09-05 20:43:18,271 INFO     batch_size = 1024
2025-09-05 20:43:18,271 INFO     negative_adversarial_sampling = True
2025-09-05 20:43:18,271 INFO     hidden_dim = 1000
2025-09-05 20:43:18,271 INFO     gamma = 9.000000
2025-09-05 20:43:18,271 INFO     initial_adversarial_temperature = 1.000000
2025-09-05 20:43:18,272 INFO     decay_rate = 0.002500
2025-09-05 20:43:18,272 INFO     learning_rate = 0
/usr/local/lib/python3.12/dist-packages/torch/utils/data/dataloader.py:627: UserWarning: This DataLoader will create 5 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
2025-09-05 20:43:22,372 INFO     Training average positive_sample_loss at step 0: 2.550542
2025-09-05 20:43:22,372 INFO     Training average negative_sample_loss at step 0: 0.083163
2025-09-05 20:43:22,372 INFO     Training average loss at step 0: 1.316852
2025-09-05 20:43:22,372 INFO     Training average current_temperature at step 0: 1.000000
2025-09-05 20:43:22,373 INFO     Evaluating on Valid Dataset...
2025-09-05 20:43:23,685 INFO     Evaluating the model... (0/2192)
2025-09-05 20:45:37,301 INFO     Evaluating the model... (1000/2192)
2025-09-05 20:47:53,390 INFO     Evaluating the model... (2000/2192)
2025-09-05 20:48:18,901 INFO     Valid MRR at step 0: 0.005838
2025-09-05 20:48:18,901 INFO     Valid MR at step 0: 6626.482121
2025-09-05 20:48:18,902 INFO     Valid HITS@1 at step 0: 0.004648
2025-09-05 20:48:18,902 INFO     Valid HITS@3 at step 0: 0.005446
2025-09-05 20:48:18,902 INFO     Valid HITS@10 at step 0: 0.006558
2025-09-05 20:48:46,761 INFO     Training average positive_sample_loss at step 100: 2.089759
2025-09-05 20:48:46,761 INFO     Training average negative_sample_loss at step 100: 0.157675
2025-09-05 20:48:46,761 INFO     Training average loss at step 100: 1.123717
2025-09-05 20:48:46,761 INFO     Training average current_temperature at step 100: 0.883557
2025-09-05 20:49:13,014 INFO     Training average positive_sample_loss at step 200: 1.159682
2025-09-05 20:49:13,014 INFO     Training average negative_sample_loss at step 200: 0.411583
2025-09-05 20:49:13,014 INFO     Training average loss at step 200: 0.785633
2025-09-05 20:49:13,014 INFO     Training average current_temperature at step 200: 0.687900
2025-09-05 20:49:39,393 INFO     Training average positive_sample_loss at step 300: 0.842039
2025-09-05 20:49:39,393 INFO     Training average negative_sample_loss at step 300: 0.536267
2025-09-05 20:49:39,393 INFO     Training average loss at step 300: 0.689153
2025-09-05 20:49:39,393 INFO     Training average current_temperature at step 300: 0.535569
2025-09-05 20:50:05,815 INFO     Training average positive_sample_loss at step 400: 0.717764
2025-09-05 20:50:05,816 INFO     Training average negative_sample_loss at step 400: 0.572925
2025-09-05 20:50:05,816 INFO     Training average loss at step 400: 0.645344
